sequential: 2.37284
parallel: 0.379995
id: 271009	visits: 403366
id: 434131	visits: 292477
id: 595331	visits: 197172
id: 565788	visits: 154553
id: 65760	visits: 147883
id: 209159	visits: 143587
id: 314882	visits: 139381
id: 68464	visits: 135476
id: 208664	visits: 126170
id: 85754	visits: 123121
id: 68462	visits: 117132
id: 209239	visits: 116973
id: 209271	visits: 114240
id: 209226	visits: 112665
id: 100679	visits: 111401
id: 444698	visits: 110085
id: 282396	visits: 109525
id: 85753	visits: 108329
id: 49137	visits: 104902
id: 99646	visits: 104704
id: 565787	visits: 99350
id: 95068	visits: 96406
id: 95043	visits: 94151
id: 139957	visits: 91251
id: 209304	visits: 90094
id: 208598	visits: 86687
id: 95586	visits: 85819
id: 596450	visits: 85637
id: 208608	visits: 82842
id: 253176	visits: 81662
id: 85755	visits: 80940
id: 139958	visits: 80427
id: 100162	visits: 78980
id: 208593	visits: 78595
id: 208668	visits: 75941
id: 76800	visits: 75024
id: 441521	visits: 68779
id: 441519	visits: 68761
id: 139952	visits: 66237
id: 497010	visits: 65799
id: 476955	visits: 65423
id: 139972	visits: 64273
id: 598571	visits: 64112
id: 171356	visits: 63851
id: 139971	visits: 63689
id: 66395	visits: 62659
id: 66425	visits: 60248
id: 472981	visits: 59902
id: 314438	visits: 59295
id: 446272	visits: 58805
id: 271368	visits: 58800
id: 600234	visits: 58507
id: 68465	visits: 57123
id: 565325	visits: 55933
id: 539285	visits: 54411
id: 565791	visits: 54226
id: 446232	visits: 53796
id: 95561	visits: 52595
id: 441505	visits: 51576
id: 317247	visits: 51070
id: 565793	visits: 49124
id: 438451	visits: 49122
id: 311269	visits: 48490
id: 565786	visits: 47782
id: 95067	visits: 47423
id: 182668	visits: 46700
id: 208646	visits: 46471
id: 209144	visits: 46353
id: 314929	visits: 45617
id: 399205	visits: 45450
id: 596451	visits: 44856
id: 650717	visits: 44148
id: 596375	visits: 44043
id: 182711	visits: 44034
id: 139965	visits: 43314
id: 314414	visits: 42432
id: 767	visits: 42210
id: 369146	visits: 41638
id: 498866	visits: 40992
id: 595501	visits: 40482
id: 268719	visits: 40182
id: 446581	visits: 39737
id: 208618	visits: 39426
id: 182881	visits: 39023
id: 315724	visits: 38727
id: 139953	visits: 38084
id: 474050	visits: 37316
id: 541087	visits: 36675
id: 53932	visits: 36519
id: 446467	visits: 36496
id: 55837	visits: 36302
id: 94534	visits: 36277
id: 549102	visits: 36256
id: 438471	visits: 36170
id: 68463	visits: 35633
id: 53351	visits: 35322
id: 208625	visits: 34624
id: 441508	visits: 34454
id: 441506	visits: 34452
id: 55836	visits: 33902
