sequential: 0.913156
parallel: 0.072927
id: 6484	visits: 194787
id: 15508	visits: 159751
id: 15531	visits: 145716
id: 0	visits: 110016
id: 11264	visits: 99097
id: 77705	visits: 64927
id: 188	visits: 51887
id: 8178	visits: 46555
id: 1455	visits: 33619
id: 2068	visits: 28897
id: 1463	visits: 27654
id: 15532	visits: 25803
id: 2064	visits: 24431
id: 11353	visits: 22387
id: 2277	visits: 22084
id: 189	visits: 22063
id: 13	visits: 20298
id: 59	visits: 19773
id: 771	visits: 18994
id: 14914	visits: 16664
id: 4	visits: 16424
id: 82206	visits: 16115
id: 1422	visits: 15384
id: 119169	visits: 14877
id: 7612	visits: 14117
id: 92952	visits: 13998
id: 71196	visits: 13785
id: 11266	visits: 13518
id: 3	visits: 12670
id: 6483	visits: 12504
id: 24538	visits: 12430
id: 17368	visits: 12296
id: 2087	visits: 12116
id: 25065	visits: 12046
id: 9	visits: 12012
id: 70502	visits: 11643
id: 12	visits: 11641
id: 71608	visits: 11214
id: 7	visits: 11139
id: 15529	visits: 10815
id: 1	visits: 10797
id: 24851	visits: 10502
id: 14	visits: 10478
id: 1417	visits: 10415
id: 69520	visits: 10380
id: 1419	visits: 10328
id: 1416	visits: 9962
id: 148	visits: 9962
id: 19267	visits: 9851
id: 108867	visits: 9804
id: 160	visits: 9769
id: 15527	visits: 9734
id: 14915	visits: 9701
id: 7182	visits: 9608
id: 7184	visits: 9354
id: 11	visits: 9276
id: 7183	visits: 9012
id: 66681	visits: 8994
id: 121231	visits: 8985
id: 45031	visits: 8906
id: 15528	visits: 8846
id: 65	visits: 8499
id: 22563	visits: 8490
id: 6482	visits: 8486
id: 34126	visits: 8441
id: 71865	visits: 8417
id: 6485	visits: 8379
id: 72	visits: 8376
id: 121248	visits: 8318
id: 46549	visits: 8248
id: 2276	visits: 8149
id: 118575	visits: 8090
id: 64159	visits: 8070
id: 56736	visits: 7966
id: 12270	visits: 7879
id: 99545	visits: 7816
id: 2088	visits: 7701
id: 45009	visits: 7618
id: 56739	visits: 7314
id: 27229	visits: 7267
id: 26	visits: 7028
id: 3364	visits: 6992
id: 6480	visits: 6986
id: 60560	visits: 6942
id: 32552	visits: 6923
id: 15517	visits: 6923
id: 52633	visits: 6923
id: 71868	visits: 6909
id: 110384	visits: 6796
id: 190	visits: 6795
id: 100770	visits: 6774
id: 13192	visits: 6752
id: 100768	visits: 6725
id: 56738	visits: 6709
id: 71867	visits: 6656
id: 56737	visits: 6650
id: 8	visits: 6648
id: 98113	visits: 6643
id: 6455	visits: 6633
id: 50597	visits: 6612
