sequential: 2.68885
parallel: 0.374875
id: 31816	visits: 66287
id: 580245	visits: 49950
id: 369078	visits: 48136
id: 686456	visits: 46001
id: 452955	visits: 44443
id: 123517	visits: 36397
id: 407149	visits: 36175
id: 268101	visits: 34433
id: 382130	visits: 33842
id: 521061	visits: 33834
id: 524293	visits: 32745
id: 418405	visits: 32593
id: 24432	visits: 32325
id: 614696	visits: 32012
id: 688516	visits: 31729
id: 291551	visits: 31467
id: 628399	visits: 31096
id: 547630	visits: 30863
id: 569620	visits: 29210
id: 342735	visits: 28654
id: 395882	visits: 27992
id: 609963	visits: 27303
id: 210628	visits: 27237
id: 454121	visits: 27188
id: 347846	visits: 27103
id: 445690	visits: 26543
id: 162057	visits: 26477
id: 161796	visits: 25997
id: 459231	visits: 25963
id: 16432	visits: 25508
id: 322649	visits: 25489
id: 41076	visits: 25420
id: 423653	visits: 25369
id: 340169	visits: 25261
id: 140294	visits: 24464
id: 5517	visits: 24333
id: 475113	visits: 24093
id: 660222	visits: 22722
id: 101455	visits: 22601
id: 304741	visits: 22333
id: 508769	visits: 22293
id: 171558	visits: 21909
id: 56443	visits: 21882
id: 550684	visits: 21657
id: 138006	visits: 21588
id: 131799	visits: 21502
id: 620477	visits: 21490
id: 176258	visits: 21448
id: 685180	visits: 21410
id: 648150	visits: 21342
id: 130416	visits: 21294
id: 185918	visits: 21174
id: 300332	visits: 20953
id: 302910	visits: 20781
id: 145568	visits: 20710
id: 332259	visits: 20710
id: 494211	visits: 20677
id: 672635	visits: 20604
id: 244890	visits: 20557
id: 355187	visits: 20538
id: 621110	visits: 20453
id: 421495	visits: 20393
id: 368670	visits: 20307
id: 500371	visits: 20122
id: 43817	visits: 20093
id: 328985	visits: 19698
id: 324031	visits: 19370
id: 1163	visits: 18930
id: 2411	visits: 18705
id: 279777	visits: 18531
id: 547210	visits: 18512
id: 605499	visits: 18497
id: 169191	visits: 18485
id: 474417	visits: 18321
id: 185751	visits: 18203
id: 245940	visits: 18120
id: 648311	visits: 18020
id: 273251	visits: 17982
id: 303980	visits: 17854
id: 679510	visits: 17647
id: 515312	visits: 17534
id: 334411	visits: 17382
id: 29178	visits: 17363
id: 268844	visits: 17136
id: 85244	visits: 17064
id: 271145	visits: 17030
id: 691557	visits: 17022
id: 471143	visits: 16963
id: 308828	visits: 16948
id: 452468	visits: 16893
id: 353353	visits: 16713
id: 520459	visits: 16713
id: 184113	visits: 16711
id: 140875	visits: 16141
id: 139085	visits: 16141
id: 372097	visits: 16027
id: 505477	visits: 15869
id: 23826	visits: 15717
id: 530428	visits: 15507
id: 679578	visits: 15381
